latitude,longitude,name,label
-34.58445976646252,-34.58445976646252,Estación Saludable Barrio 31,Rodolfo Walsh y Carlos H. Perette
-34.598602794238374,-34.598602794238374,Estación Saludable Campus Plaza Houssay,Paraguay 2102-2150
-34.60390040522636,-34.60390040522636,Estación Saludable Carlos Pellegrini,Línea B, combinación línea D y C
-34.62619892407293,-34.62619892407293,Estación Saludable Constitución,Lima y Av. Juan de Garay
-34.60456293984988,-34.60456293984988,Estación Saludable Corrientes,Línea B, combinación línea H
-34.60696711301962,-34.60696711301962,Estación Saludable Diagonal Norte,Av. Roque Sáenz Peña y Florida
-34.555358272023334,-34.555358272023334,Estación Saludable Lago de Palermo,Andrés Bello casi esquina Tornquist
-34.6456334977431,-34.6456334977431,Estación Saludable Parque Avellaneda,Av. Lacarra y Av. Bilbao
-34.60624208404755,-34.60624208404755,Estación Saludable Parque Centenario,Antonio Machado y Patricias Argentinas
-34.634688999309866,-34.634688999309866,Estación Saludable Parque Chacabuco,Emilio Mitre y Av. Asamblea
-34.66497215154626,-34.66497215154626,Estación Saludable Parque Indoamericano,Av. Castañares y Av. Escalada
-34.59177145772071,-34.59177145772071,Estación Saludable Parque Los Andes,Av. Dorrego y Av. Corrientes
-34.638055580656676,-34.638055580656676,Estación Saludable Parque Patricios,Patagones y Monteagudo
-34.617768533040326,-34.617768533040326,Estación Saludable Parque Rivadavia,Av. Rivadavia y Doblas
-34.55087620640208,-34.55087620640208,Estación Saludable Parque Saavedra,Av. García del Río y Av. Melián
-34.60866005150397,-34.60866005150397,Estación Saludable Perú,Línea A, combinación línea E y D
-34.628704140036895,-34.628704140036895,Estación Saludable Plaza Flores,Av. Rivadavia y Fray Cayetano Rodriguez
-34.65549620727825,-34.65549620727825,Estación Saludable Plaza Juan Salaberry,Av. Alberdi entre Pilar y Cafayate
-34.609764923120125,-34.609764923120125,Estación Saludable Plaza Miserere,Mitre y Av. Pueyrredón
-34.65196754841214,-34.65196754841214,Estación Saludable Plaza Nueva Pompeya,Av. Sáenz y Traful
-34.58352385467533,-34.58352385467533,Estación Saludable Plaza Rubén Darío,Av. Del Libertador y Dr. Luis Agote
-34.57786777613747,-34.57786777613747,Estación Saludable Puente Pacífico,Av. Santa Fe y Av. Bullrich
-34.59269898350988,-34.59269898350988,Estación Saludable Retiro,Av. Ramos Mejía y Av. Del Libertador
-34.57151732039001,-34.57151732039001,Estación Saludable Rosedal,Iraola y Av. Sarmiento
-34.603804295964075,-34.603804295964075,Estación Saludable Tribunales,Av. Corrientes y Uruguay
